WaitType,Time,MillisecondsWaiting
CPU,2018-01-13T21:00:00Z,1638176
Latch,2018-01-13T21:00:00Z,902204
Lock,2018-01-13T21:00:00Z,181110
Memory,2018-01-13T21:00:00Z,17587
Network IO,2018-01-13T21:00:00Z,68
OTHER,2018-01-13T21:00:00Z,49523806
Other Disk IO,2018-01-13T21:00:00Z,31852
Parallelism,2018-01-13T21:00:00Z,879959
Preemptive,2018-01-13T21:00:00Z,37421
Replication,2018-01-13T21:00:00Z,0
SQL CLR,2018-01-13T21:00:00Z,0
Service Broker,2018-01-13T21:00:00Z,0
Tracing,2018-01-13T21:00:00Z,60
Tran Log IO,2018-01-13T21:00:00Z,1573906
Transaction,2018-01-13T21:00:00Z,0
Worker Thread,2018-01-13T21:00:00Z,32
Buffer IO,2018-01-13T22:00:00Z,223752
Buffer Latch,2018-01-13T22:00:00Z,14204
CPU,2018-01-13T22:00:00Z,1459415
Latch,2018-01-13T22:00:00Z,1291754
Lock,2018-01-13T22:00:00Z,148343
Memory,2018-01-13T22:00:00Z,15877
Network IO,2018-01-13T22:00:00Z,48
OTHER,2018-01-13T22:00:00Z,48322349
Other Disk IO,2018-01-13T22:00:00Z,33602
Parallelism,2018-01-13T22:00:00Z,900349
Preemptive,2018-01-13T22:00:00Z,29752
Replication,2018-01-13T22:00:00Z,0
SQL CLR,2018-01-13T22:00:00Z,0
Service Broker,2018-01-13T22:00:00Z,0
Tracing,2018-01-13T22:00:00Z,241
Tran Log IO,2018-01-13T22:00:00Z,2040343
Transaction,2018-01-13T22:00:00Z,0
Worker Thread,2018-01-13T22:00:00Z,48
Buffer IO,2018-01-13T23:00:00Z,62650
Buffer Latch,2018-01-13T23:00:00Z,6591
CPU,2018-01-13T23:00:00Z,1423358
Latch,2018-01-13T23:00:00Z,252693
Lock,2018-01-13T23:00:00Z,322189
Memory,2018-01-13T23:00:00Z,15849
Network IO,2018-01-13T23:00:00Z,153
OTHER,2018-01-13T23:00:00Z,51407399
Other Disk IO,2018-01-13T23:00:00Z,30929
Parallelism,2018-01-13T23:00:00Z,722848
Preemptive,2018-01-13T23:00:00Z,28879
Replication,2018-01-13T23:00:00Z,0
SQL CLR,2018-01-13T23:00:00Z,0
Service Broker,2018-01-13T23:00:00Z,0
Tracing,2018-01-13T23:00:00Z,100
Tran Log IO,2018-01-13T23:00:00Z,889148
Transaction,2018-01-13T23:00:00Z,0
Worker Thread,2018-01-13T23:00:00Z,56
Buffer IO,2018-01-14T00:00:00Z,17575
Buffer Latch,2018-01-14T00:00:00Z,8874
CPU,2018-01-14T00:00:00Z,1725674
Latch,2018-01-14T00:00:00Z,2526
Lock,2018-01-14T00:00:00Z,234011
Memory,2018-01-14T00:00:00Z,21286
Network IO,2018-01-14T00:00:00Z,71
OTHER,2018-01-14T00:00:00Z,51440673
Other Disk IO,2018-01-14T00:00:00Z,19037
Parallelism,2018-01-14T00:00:00Z,765677
Preemptive,2018-01-14T00:00:00Z,46786
Replication,2018-01-14T00:00:00Z,0
SQL CLR,2018-01-14T00:00:00Z,0
Service Broker,2018-01-14T00:00:00Z,0
Tracing,2018-01-14T00:00:00Z,213
Tran Log IO,2018-01-14T00:00:00Z,508898
Transaction,2018-01-14T00:00:00Z,0
Worker Thread,2018-01-14T00:00:00Z,2
Buffer IO,2018-01-14T01:00:00Z,27200
Buffer Latch,2018-01-14T01:00:00Z,5852
CPU,2018-01-14T01:00:00Z,1611786
Latch,2018-01-14T01:00:00Z,2071
Lock,2018-01-14T01:00:00Z,297003
Memory,2018-01-14T01:00:00Z,27959
Network IO,2018-01-14T01:00:00Z,54
OTHER,2018-01-14T01:00:00Z,51940347
Other Disk IO,2018-01-14T01:00:00Z,10673
Parallelism,2018-01-14T01:00:00Z,788261
Preemptive,2018-01-14T01:00:00Z,51206
Replication,2018-01-14T01:00:00Z,0
SQL CLR,2018-01-14T01:00:00Z,0
Service Broker,2018-01-14T01:00:00Z,0
Tracing,2018-01-14T01:00:00Z,221
Tran Log IO,2018-01-14T01:00:00Z,528579
Transaction,2018-01-14T01:00:00Z,0
Worker Thread,2018-01-14T01:00:00Z,10
Buffer IO,2018-01-14T02:00:00Z,25476
Buffer Latch,2018-01-14T02:00:00Z,9286
CPU,2018-01-14T02:00:00Z,1762781
Latch,2018-01-14T02:00:00Z,660
Lock,2018-01-14T02:00:00Z,241677
Memory,2018-01-14T02:00:00Z,28210
Network IO,2018-01-14T02:00:00Z,30
OTHER,2018-01-14T02:00:00Z,52221169
Other Disk IO,2018-01-14T02:00:00Z,19668
Parallelism,2018-01-14T02:00:00Z,753831
Preemptive,2018-01-14T02:00:00Z,52102
Replication,2018-01-14T02:00:00Z,0
SQL CLR,2018-01-14T02:00:00Z,0
Service Broker,2018-01-14T02:00:00Z,0
Tracing,2018-01-14T02:00:00Z,283
Tran Log IO,2018-01-14T02:00:00Z,535834
Transaction,2018-01-14T02:00:00Z,0
Worker Thread,2018-01-14T02:00:00Z,41
Buffer IO,2018-01-14T03:00:00Z,135810
Buffer Latch,2018-01-14T03:00:00Z,8837
CPU,2018-01-14T03:00:00Z,1327920
Latch,2018-01-14T03:00:00Z,256305
Lock,2018-01-14T03:00:00Z,181846
Memory,2018-01-14T03:00:00Z,23302
Network IO,2018-01-14T03:00:00Z,31
OTHER,2018-01-14T03:00:00Z,51263688
Other Disk IO,2018-01-14T03:00:00Z,15198
Parallelism,2018-01-14T03:00:00Z,788907
Preemptive,2018-01-14T03:00:00Z,38284
Replication,2018-01-14T03:00:00Z,0
SQL CLR,2018-01-14T03:00:00Z,0
Service Broker,2018-01-14T03:00:00Z,0
Tracing,2018-01-14T03:00:00Z,25
Tran Log IO,2018-01-14T03:00:00Z,1148115
Transaction,2018-01-14T03:00:00Z,0
Worker Thread,2018-01-14T03:00:00Z,0
Buffer IO,2018-01-14T04:00:00Z,520281
Buffer Latch,2018-01-14T04:00:00Z,43281
CPU,2018-01-14T04:00:00Z,1725265
Latch,2018-01-14T04:00:00Z,1137144
Lock,2018-01-14T04:00:00Z,67645
Memory,2018-01-14T04:00:00Z,22768
Network IO,2018-01-14T04:00:00Z,111
OTHER,2018-01-14T04:00:00Z,47347621
Other Disk IO,2018-01-14T04:00:00Z,28529
Parallelism,2018-01-14T04:00:00Z,1164053
Preemptive,2018-01-14T04:00:00Z,31239
